0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,17
17,18
18,19
19,21
20,22
21,23
22,25
23,27
24,28
25,29
26,31
27,32
28,34
29,35
30,37
31,39
32,43
33,45
34,46
35,47
36,48
37,50
38,54
39,58
40,62
41,64
42,65
43,66
44,70
45,72
46,73
47,75
48,77
49,78
50,82
51,84
52,86
53,88
54,90
55,91
56,92
57,93
58,95
59,96
60,98
61,99
62,100
63,102
64,104
65,105
66,107
67,108
68,109
69,110
70,111
71,113
72,114
73,115
74,117
75,119
76,123
77,124
78,128
79,129
80,130
81,132
82,136
83,138
84,139
85,140
86,144
87,148
88,150
89,154
90,156
91,158
92,160
93,161
94,162
95,163
96,165
97,166
98,167
99,168
100,169
101,171
102,173
103,181
104,182
105,183
106,185
107,186
108,187
109,188
110,192
111,193
112,197
113,198
114,200
115,201
116,203
117,205
118,206
119,207
120,209
121,210
122,211
123,212
124,213
125,215
126,217
127,218
128,222
129,223
130,227
131,231
132,233
133,235
134,236
135,238
136,239
137,240
138,242
139,244
140,245
141,246
142,247
143,248
144,252
145,253
146,255
147,256
148,258
149,259
150,260
151,261
152,263
153,265
154,269
155,270
156,272
157,273
158,277
159,279
160,280
161,282
162,286
163,288
164,289
165,290
166,292
167,293
168,294
169,296
170,298
171,299
172,303
173,304
174,305
175,309
176,311
177,313
178,315
179,319
180,321
181,323
182,324
183,325
184,327
185,328
186,329
187,330
188,332
189,336
190,337
191,341
192,342
193,344
194,346
195,347
196,348
197,350
198,352
199,353
200,357
201,361
202,363
203,365
204,367
205,368
206,369
207,370
208,371
209,372
210,374
211,375
212,376
213,377
214,378
215,379
216,383
217,384
218,386
219,388
220,390
221,392
222,394
223,398
224,400
225,402
226,403
227,405
228,409
229,413
230,415
231,417
232,418
233,420
234,422
235,424
236,428
237,429
238,433
239,434
240,438
241,439
242,440
243,441
244,445
245,446
246,447
247,449
248,453
249,455
